Invoice,,,Parts,,Labor,,Sublet,,HazMat & Fees,,Shop Supplies,,Discount,,Subtotal,,Tax,Total,Shop Name,Shop Identifier
Date,Number,URL,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed
02/02/2022,21725,https://autohousenwa.shop-ware.com/work_orders/49016400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AutoHouse Automotive,NWA
02/02/2022,21721,https://autohousenwa.shop-ware.com/work_orders/49009829,207.69,0.00,360.00,0.00,0.00,0.00,0.00,0.00,16.20,0.00,0.00,0.00,583.89,0.00,64.23,648.12,AutoHouse Automotive,NWA
02/03/2022,21229,https://autohousenwa.shop-ware.com/work_orders/41853764,909.98,0.00,576.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,1510.98,0.00,166.21,1677.19,AutoHouse Automotive,NWA
02/03/2022,21776,https://autohousenwa.shop-ware.com/work_orders/49888343,390.19,0.00,300.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00,69.02,0.00,634.67,0.00,69.81,704.48,AutoHouse Automotive,NWA
02/04/2022,21764,https://autohousenwa.shop-ware.com/work_orders/49479326,297.06,0.00,366.00,0.00,0.00,0.00,0.00,0.00,16.47,0.00,0.00,0.00,679.53,0.00,74.75,754.28,AutoHouse Automotive,NWA
02/07/2022,21730,https://autohousenwa.shop-ware.com/work_orders/49021906,386.40,0.00,510.00,0.00,0.00,0.00,0.00,0.00,22.95,0.00,0.00,0.00,919.35,0.00,101.13,1020.48,AutoHouse Automotive,NWA
02/07/2022,21770,https://autohousenwa.shop-ware.com/work_orders/49485870,674.56,0.00,1056.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,1755.56,0.00,193.11,1948.67,AutoHouse Automotive,NWA
02/08/2022,21762,https://autohousenwa.shop-ware.com/work_orders/49420624,73.42,0.00,30.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,104.77,0.00,11.52,116.29,AutoHouse Automotive,NWA
02/08/2022,21418,https://autohousenwa.shop-ware.com/work_orders/44402820,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AutoHouse Automotive,NWA
02/08/2022,21819,https://autohousenwa.shop-ware.com/work_orders/50443350,18.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.91,0.00,2.08,20.99,AutoHouse Automotive,NWA
